year,category,recipient,location,grant_description,award_amt
2011,HIGHER EDUCATION AND SCHOLARSHIP,Middlebury College,"Middlebury, Vermont",To support international education and faculty development,"150,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Middlebury College,"Middlebury, Vermont",To support an Emeritus Fellowship,"31,300"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Morehouse College,"Atlanta, Georgia","To endow a professorship in the physical sciences in honor of Morehouse's former president, Walter E. Massey","500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Morehouse College,"Atlanta, Georgia","To support the launch of the Cinema, Television, and Emerging Media Studies program","400,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Mount Holyoke College,"South Hadley, Massachusetts","To support the integration of academic and practical experiences through internships, field work, and civic engagement","500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Mount Holyoke College,"South Hadley, Massachusetts",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,National Gallery of Art,"Washington, DC",To support activities aimed at strengthening scholarship in art history,"858,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Nebraska Wesleyan University,"Lincoln, Nebraska",To support liberal arts seminars in the general education curriculum,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,The New School,"New York, New York",To support strategic and curricular planning for Eugene Lang College,"50,200"
2011,HIGHER EDUCATION AND SCHOLARSHIP,New York Public Library,"New York, New York",To support renewal of the Schomburg-Mellon Summer Humanities Undergraduate Institute,"446,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Northwestern University,"Evanston, Illinois",To support a New Directions Fellowship,"257,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Northwestern University,"Evanston, Illinois",To support an Emeritus Fellowship,"55,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Northwestern University,"Evanston, Illinois",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Oberlin College,"Oberlin, Ohio",To support international humanities teaching and research through creation and endowment of a center for the study of foreign languages and international cultures,"950,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Oberlin College,"Oberlin, Ohio",To support the Mellon Mays Undergraduate Fellowship program,"247,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Oberlin College,"Oberlin, Ohio",To support planning for the Toni Morrison Center for the Humanities,"50,200"
